id_zone;INSEE_C;LIBGEO;EPCI;DEP;REG;loypredm2;lwr.IPm2;upr.IPm2;TYPPRED;nbobs_com;nbobs_mail;R2_adj;Type_de_logement
2088;91106;Breux-Jouy;249100595;91;11;13,94165846;12,13002614;16,02386;maille;31;654;0,866013827;Appartement
1695;91106;Breux-Jouy;249100595;91;11;17,98900631;15,64802122;20,68020894;maille;25;713;0,785289178;Appartement
1960;91106;Breux-Jouy;249100595;91;11;13,52097501;10,79460712;16,93593506;maille;17;489;0,801853797;Maison
1807;91106;Breux-Jouy;249100595;91;11;13,80269338;11,95004689;15,94256042;maille;5;587;0,695338682;Appartement
1415;91109;Brieres-les-Scelles;200017846;91;11;14,32267341;12,03319462;17,04775666;maille;9;5919;0,833007759;Appartement
894;91109;Brieres-les-Scelles;200017846;91;11;17,74511771;15,36712382;20,49109556;maille;0;911;0,765229324;Appartement
12;91109;Brieres-les-Scelles;200017846;91;11;11,62989371;9,436028586;14,33382979;maille;4;543;0,787584737;Maison
995;91109;Brieres-les-Scelles;200017846;91;11;11,87422697;10,08431859;13,98183378;maille;9;2012;0,641955499;Appartement
1369;91111;Briis-sous-Forges;249100074;91;11;16,03248791;13,76122085;18,6786239;commune;258;489;0,888401047;Appartement
785;91111;Briis-sous-Forges;249100074;91;11;20,11560519;17,43709879;23,20555598;commune;180;502;0,851858835;Appartement
507;91111;Briis-sous-Forges;249100074;91;11;13,72093918;11,2207394;16,77823228;maille;68;704;0,88106881;Maison
186;91111;Briis-sous-Forges;249100074;91;11;13,88096048;11,77270104;16,36676776;maille;82;759;0,673843135;Appartement
1603;91112;Brouy;200017846;91;11;13,02746499;10,88721093;15,58845927;maille;5;494;0,825075414;Appartement
947;91112;Brouy;200017846;91;11;15,47878004;13,18258884;18,17493015;maille;5;563;0,743877955;Appartement
528;91112;Brouy;200017846;91;11;11,14228634;8,602514668;14,43188994;maille;10;485;0,778702316;Maison
1284;91112;Brouy;200017846;91;11;12,21435832;10,67483732;13,97590845;maille;1;482;0,683997574;Appartement
2329;91114;Brunoy;200058477;91;11;17,62005876;14,87566805;20,8707582;commune;2733;2733;0,876600961;Appartement
1894;91114;Brunoy;200058477;91;11;20,87425594;17,85488302;24,40422379;commune;1585;1937;0,779543784;Appartement
1242;91114;Brunoy;200058477;91;11;16,88281469;13,34520911;21,35818401;commune;214;586;0,872017872;Maison
1822;91114;Brunoy;200058477;91;11;15,72701101;13,14330469;18,81862145;commune;1138;1270;0,656599256;Appartement
1613;91115;Bruyeres-le-Chatel;200057859;91;11;16,33489339;14,38812934;18,5450614;commune;511;511;0,921647754;Appartement
1695;91115;Bruyeres-le-Chatel;200057859;91;11;18,49922175;16,09905412;21,25722435;commune;309;713;0,785289178;Appartement
661;91115;Bruyeres-le-Chatel;200057859;91;11;13,66090833;11,03966063;16,90454287;maille;44;541;0,845072219;Maison
1807;91115;Bruyeres-le-Chatel;200057859;91;11;14,33339684;12,40898897;16,55624526;commune;209;587;0,695338682;Appartement
2987;94015;Bry-sur-Marne;200054781;94;11;20,93061343;17,58085114;24,9186217;commune;2183;2183;0,89211132;Appartement
1198;94015;Bry-sur-Marne;200054781;94;11;24,48499035;20,91392386;28,66581883;commune;1362;1362;0,80901538;Appartement
2118;94015;Bry-sur-Marne;200054781;94;11;20,95696355;13,61667839;32,25414513;maille;75;547;0,776553982;Maison
2125;94015;Bry-sur-Marne;200054781;94;11;18,68598619;15,3790358;22,70402934;commune;821;821;0,703063487;Appartement
1603;91121;Buno-Bonnevaux;249100157;91;11;13,02746499;10,88721093;15,58845927;maille;9;494;0,825075414;Appartement
1046;91121;Buno-Bonnevaux;249100157;91;11;17,08817676;14,77688025;19,76099014;maille;8;499;0,809717144;Appartement
528;91121;Buno-Bonnevaux;249100157;91;11;11,14228634;8,602514668;14,43188994;maille;7;485;0,778702316;Maison
451;91121;Buno-Bonnevaux;249100157;91;11;12,91197423;10,69761728;15,58469275;maille;1;481;0,708013712;Appartement
2395;91122;Bures-sur-Yvette;200056232;91;11;19,15407344;16,31057285;22,49329517;commune;1614;1825;0,901780202;Appartement
1082;91122;Bures-sur-Yvette;200056232;91;11;22,15053601;18,89403859;25,9683097;commune;1261;1434;0,827761287;Appartement
246;91122;Bures-sur-Yvette;200056232;91;11;18,04329895;13,95415302;23,33073435;commune;140;633;0,868904162;Maison
541;91122;Bures-sur-Yvette;200056232;91;11;17,88371487;15,09955402;21,18123866;commune;349;1740;0,739699131;Appartement
2779;94016;Cachan;200054781;94;11;23,6944261;19,56543201;28,69478313;commune;3957;3957;0,892665385;Appartement
935;94016;Cachan;200054781;94;11;26,87919541;22,30166295;32,39629024;commune;2783;2783;0,807042352;Appartement
308;94016;Cachan;200054781;94;11;21,78419854;14,60399045;32,49463271;maille;76;501;0,806128739;Maison
1997;94016;Cachan;200054781;94;11;21,28809007;17,47138824;25,93856724;commune;1173;1173;0,614964213;Appartement
1789;91129;Cerny;249100546;91;11;15,36279211;13,59630044;17,3587942;commune;238;476;0,890300411;Appartement
947;91129;Cerny;249100546;91;11;15,47878004;13,18258884;18,17493015;maille;75;563;0,743877955;Appartement
1168;91129;Cerny;249100546;91;11;13,37232289;10,98997975;16,27109636;maille;40;512;0,838725834;Maison
1284;91129;Cerny;249100546;91;11;13,03652448;11,37966331;14,93462205;commune;170;482;0,683997574;Appartement
1693;91130;Chalo-Saint-Mars;200017846;91;11;13,97079268;11,89133445;16,41388937;maille;29;580;0,882653445;Appartement
1256;91130;Chalo-Saint-Mars;200017846;91;11;16,66235299;14,36942595;19,32116205;maille;15;679;0,798959253;Appartement
12;91130;Chalo-Saint-Mars;200017846;91;11;11,62989371;9,436028586;14,33382979;maille;12;543;0,787584737;Maison
995;91130;Chalo-Saint-Mars;200017846;91;11;11,87422697;10,08431859;13,98183378;maille;16;2012;0,641955499;Appartement
1693;91131;Chalou-Moulineux;200017846;91;11;13,97079268;11,89133445;16,41388937;maille;9;580;0,882653445;Appartement
313;91131;Chalou-Moulineux;200017846;91;11;15,35765608;13,33064339;17,69288948;maille;9;1412;0,763691436;Appartement
12;91131;Chalou-Moulineux;200017846;91;11;11,62989371;9,436028586;14,33382979;maille;3;543;0,787584737;Maison
1006;91131;Chalou-Moulineux;200017846;91;11;11,82033999;10,1036828;13,82866429;maille;0;746;0,737213936;Appartement
999;91132;Chamarande;249100553;91;11;14,50868186;12,43925174;16,9223884;commune;163;943;0,889171521;Appartement
1693;91132;Chamarande;249100553;91;11;16,93578812;14,49151427;19,79233597;commune;128;666;0,756749352;Appartement
1301;91132;Chamarande;249100553;91;11;14,29254496;11,4384061;17,85885549;maille;20;533;0,835686124;Maison
1807;91132;Chamarande;249100553;91;11;13,80269338;11,95004689;15,94256042;maille;37;587;0,695338682;Appartement
2026;91135;Champcueil;249100546;91;11;15,56879508;13,64089045;17,76917579;maille;30;762;0,923128525;Appartement
944;91135;Champcueil;249100546;91;11;18,14510486;15,83638446;20,79040399;maille;22;514;0,837619072;Appartement
1168;91135;Champcueil;249100546;91;11;13,37232289;10,98997975;16,27109636;maille;45;512;0,838725834;Maison
709;91135;Champcueil;249100546;91;11;13,13796619;11,22242211;15,38047258;maille;11;1217;0,56360443;Appartement
1628;94017;Champigny-sur-Marne;200054781;94;11;19,50777337;15,97174725;23,82664938;commune;6492;6492;0,820526186;Appartement
1975;94017;Champigny-sur-Marne;200054781;94;11;22,65695787;18,68944121;27,46672489;commune;3769;3769;0,66531465;Appartement
1752;94017;Champigny-sur-Marne;200054781;94;11;18,77824673;13,36879439;26,37654078;commune;411;1147;0,786588197;Maison
2053;94017;Champigny-sur-Marne;200054781;94;11;17,36317725;14,13298565;21,33165147;commune;2719;2719;0,54749152;Appartement
2655;91136;Champlan;200056232;91;11;17,01630151;13,97464923;20,71998461;commune;233;9490;0,854154394;Appartement
1287;91136;Champlan;200056232;91;11;20,24881426;16,90805002;24,24966086;commune;155;4424;0,723815165;Appartement
412;91136;Champlan;200056232;91;11;15,94639375;12,28841735;20,69326475;maille;44;1712;0,780928323;Maison
2074;91136;Champlan;200056232;91;11;15,97614481;12,94264957;19,72062997;maille;79;5085;0,647544907;Appartement
1603;91137;Champmotteux;200017846;91;11;13,02746499;10,88721093;15,58845927;maille;1;494;0,825075414;Appartement
947;91137;Champmotteux;200017846;91;11;15,47878004;13,18258884;18,17493015;maille;0;563;0,743877955;Appartement
528;91137;Champmotteux;200017846;91;11;11,14228634;8,602514668;14,43188994;maille;4;485;0,778702316;Maison
1284;91137;Champmotteux;200017846;91;11;12,21435832;10,67483732;13,97590845;maille;1;482;0,683997574;Appartement
3183;94018;Charenton-le-Pont;200054781;94;11;26,15277158;21,37242507;32,00233287;commune;3744;3744;0,907478838;Appartement
1786;94018;Charenton-le-Pont;200054781;94;11;28,48398733;23,4932493;34,53492208;commune;2726;2726;0,845743058;Appartement
2242;94018;Charenton-le-Pont;200054781;94;11;19,4324088;13,36229907;28,25999551;maille;8;506;0,800356786;Maison
1872;94018;Charenton-le-Pont;200054781;94;11;24,53057977;19,63744938;30,64294819;commune;1012;1012;0,775342229;Appartement
1898;91145;Chatignonville;200017846;91;11;14,66257492;12,61882623;17,03732972;maille;0;504;0,845283211;Appartement
313;91145;Chatignonville;200017846;91;11;15,35765608;13,33064339;17,69288948;maille;0;1412;0,763691436;Appartement
12;91145;Chatignonville;200017846;91;11;11,62989371;9,436028586;14,33382979;maille;1;543;0,787584737;Maison
1006;91145;Chatignonville;200017846;91;11;11,82033999;10,1036828;13,82866429;maille;0;746;0,737213936;Appartement
1112;91148;Chauffour-les-etrechy;249100553;91;11;14,83399045;12,74528698;17,26499161;maille;2;1048;0,879484513;Appartement
1695;91148;Chauffour-les-etrechy;249100553;91;11;17,98900631;15,64802122;20,68020894;maille;1;713;0,785289178;Appartement
100;91148;Chauffour-les-etrechy;249100553;91;11;12,59609601;10,13309088;15,65777279;maille;0;565;0,831231017;Maison
186;91148;Chauffour-les-etrechy;249100553;91;11;13,88096048;11,77270104;16,36676776;maille;1;759;0,673843135;Appartement
3026;94019;Chennevieres-sur-Marne;200054781;94;11;18,43955802;15,47302064;21,97484951;commune;1730;1730;0,879042054;Appartement
1343;94019;Chennevieres-sur-Marne;200054781;94;11;20,94637646;17,92596072;24,47571394;commune;1083;1083;0,764119636;Appartement
1752;94019;Chennevieres-sur-Marne;200054781;94;11;16,97397236;12,10294326;23,80542745;maille;67;1147;0,786588197;Maison
2098;94019;Chennevieres-sur-Marne;200054781;94;11;17,2770421;14,36401995;20,78082492;commune;638;638;0,635227965;Appartement
1392;91156;Cheptainville;200057859;91;11;15,44962151;13,1436105;18,16021595;maille;65;1134;0,844599269;Appartement
1868;91156;Cheptainville;200057859;91;11;18,44826778;15,8252599;21,50603441;maille;36;607;0,781307712;Appartement
1301;91156;Cheptainville;200057859;91;11;14,29254496;11,4384061;17,85885549;maille;32;533;0,835686124;Maison
843;91156;Cheptainville;200057859;91;11;13,44968299;11,48371112;15,75222248;maille;29;1170;0,590504756;Appartement
2026;91159;Chevannes;249100546;91;11;16,2731546;14,25403026;18,57829371;commune;113;762;0,923128525;Appartement
944;91159;Chevannes;249100546;91;11;18,14510486;15,83638446;20,79040399;maille;82;514;0,837619072;Appartement
1301;91159;Chevannes;249100546;91;11;14,29254496;11,4384061;17,85885549;maille;10;533;0,835686124;Maison
1682;91159;Chevannes;249100546;91;11;13,03984303;11,5223428;14,75719906;maille;29;497;0,721112877;Appartement
2005;94021;Chevilly-Larue;200054781;94;11;19,35684456;16,12287678;23,23948986;commune;1327;1327;0,88210673;Appartement
1721;94021;Chevilly-Larue;200054781;94;11;22,61520939;19,05866883;26,83543643;commune;758;758;0,806513536;Appartement
308;94021;Chevilly-Larue;200054781;94;11;21,78419854;14,60399045;32,49463271;maille;38;501;0,806128739;Maison
2232;94021;Chevilly-Larue;200054781;94;11;17,19707871;14,14919019;20,90151537;commune;570;570;0,635740212;Appartement
1692;91161;Chilly-Mazarin;200056232;91;11;17,30260264;14,98943654;19,97273595;commune;3248;3248;0,905973849;Appartement
1271;91161;Chilly-Mazarin;200056232;91;11;20,35757001;17,80968788;23,26995618;commune;2011;2011;0,799199734;Appartement
412;91161;Chilly-Mazarin;200056232;91;11;15,94639375;12,28841735;20,69326475;maille;74;1712;0,780928323;Maison
2004;91161;Chilly-Mazarin;200056232;91;11;15,21919347;13,05053111;17,74823168;commune;1236;1236;0,62735561;Appartement
